댓글
"※ 본 영상에 출연한 출연자를 향한 인신공격, 비난 및 비방을 담은 댓글은 삭제할 예정입니다.
출연자를 보호하기 위한 최소한의 조치이오니 구독자 여러분의 양해 부탁드립니다.
스브스뉴스는 여러분의 건강한 의견 교류를 권장합니다. 감사합니다."
"안녕하세요! 이세계아이돌의 청량함과 98년생을 맡고있는 고세구입니다! ^ㅁ^
스브스 뉴스팀과 함께 인터뷰를 받게 되다니... 너무 뜻깊고 영광인 시간이었습니다! 감사합니다!
다들 즐거운 추석 한가위 보내세요!!!!!!!!"
"버튜버가 좋은 사람 -> 정상
버튜버가 싫은 사람 -> 정상

나는 저런 육수들이랑은 다르다며 우월감에 취한 찐따 -> 비정상"
"팬들 인터뷰 보니까 소통이 핵심이네 ㅋㅋ
현실 아이돌은 소통이 힘든데 버츄얼은 매일 방송하고 커뮤니티 피드백 받아주고 등등 이러면 팬이 생길수밖에없지 재밌고"
안 좋아할순 있는데 굳이 혐오하면서까지 욕할 필요가 있나.. 그냥 저런 문화도 있나보다하면되는 거
플레이브도 그렇고 실패한 아이돌에게 버츄얼을 통해 새로운 기회가 주워졌다는게 너무 좋은 것 같다
컴퓨터좀 하나 사줘라 진짜ㅋㅋㅋㅋㅋㅋ
얘들아 악플 좀 내비둬 이번 영상에서 특히 날카롭게 구는 애들이 많네 실제 아이돌들도 별 이상한 걸로 욕하는 사람들 많은데 우리라고 별 거 다르겠어? 그리고 봤잖아 우욱거리던 사람들이 몇 달 뒤에 이세돌 프사달고 있는거 ㅋㅋㅋㅋㅋ 유입될수있는 사람들이니까 제발 유하게 굴자..
스브스 컴좀 바꿔라;
"자존감을 올리는 쉬운 방법: 남의 결함찾기
자존감을 올리는 어려운 방법: 내 결함 메꾸기"
"사실 아직도 그들의 매력은 잘 모르겠지만 자기들이 좋다는데 욕할 생각은 없음.
 자기가 안 좋아하는걸 좋아한다고 욕하는 사람들이 많아서 슬플 따름임"
기자님 좋은 컴퓨터 지급받으시길 기원합니다
힘들때 마다 이세돌 보며 힘내고 있을 만큼 영향력이 매우 뛰어나다 생각합니다. 정말 정말 자랑스럽고 앞으로도 좋은 노래와 방송으로 팬 모두를 기쁘게 해주셨으면~
우왁굳.... 옛날부터 인방판에서 참신하고 획기적인 아이디어로 컨텐츠를 많이해서 종종 봤었는데 꾸준히 롱런하면서 잘되는 이유가 있네. 버튜버 그룹을 만들어서 대성할 줄 누가 알았을까..
우린 저기 계신 '사람'들을 좋아하고 팬이된겁니다. 연예인 또는 어떤 사람들의 팬을 해보셨던 사람들은 아실겁니다. 그 사람들이 본인들에게 행복함같은 긍정적인 힘을 주는걸요. 그걸 저희도 이세계아이돌분들한테서  받고 있습니다!  이세계아이돌 파이팅️
자기가 좋아하는걸 진심으로 즐기는 사람이 자기가 이해못하겠다고 무지성으로 까는 사람보다는 훨씬 정상적이라고 생각합니다
언제나 열심히 활동해주는 모습 보면 사랑하지 않을 수 없는 우리 아이돌 오래오래 함께 행복하고 싶다 항상 응원할게요 사랑해!!!!!!!!!!!!!!!!!!
"우리 아이돌 정말 자랑스럽다...처음보시는 분들은 '이게 뭐야'라고 하실 수 있지만 '이런 아이돌도 있구나'라고 생각해 주시면 감사하겠습니다
이세돌 화이팅"
장훈이형 튽훈이 보러 갔다가 이세돌 처음 알았는데 관객분들 진짜로 열정적인 함성과 이세돌의 매력에 빠졌네요. 튽훈이 & 이세돌 항상 응원합니다
"이세돌 너무 자랑스럽다 ㅠㅠ
앞으로도 건강히 오래오래 좋은모습만 보여주세요 화이팅!! 킹아~~~"
"이세계 아이돌 사랑해 !! 언제나 응원하고 , 언제나 좋은 일만 가득하실거고 , 앞으로 모험을 응원하겠습니다."
"이세돌의 매력은 오디션부터 쭉 이어진 스토리가 너무 재밌음
맴버들도 너무 착하고 재밌어서 첨엔 거부감 들다가 빠져들게댐

악플러들도 이해함"
사장님이란 분이 인터뷰하는데 잘생긴 얼굴과 태평양 어깨만 믿고 너무 후줄근한 차림으로 오셨네요..
이세돌 언제나 사랑해..!!
악플은 무시가 답이다
처음 보시는 분들은 단순히 캐릭터 혹은 AI인가 오해하실 수 있지만 화면 너머에 사람이 있어요! 다재다능하고 매력적인 사람들에게 빠져서 팬이 된 만큼 더 많은 분들이 우리 아이돌에 대해 알게 된다면 진심으로 행복할 것 같아요 고마워요 스브스!
