Comments,Replies
킹!!!!!아ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ!!!!!!!!!!!!!!!!!!!!!!,킹!!!!!아ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ!!!!!!!!!!!!!!!!!!!!!!
"이파리된지 얼마안됐는데 이 노래들으니 이세돌분들이 전해주는 메시지가 마음에 와닿네요ㅎㅎ  아프리카에서 만날수있어 기쁘고 방송도 잘보고잇어요
 2천만조회수 축하드립니다","이파리된지 얼마안됐는데 이 노래들으니 이세돌분들이 전해주는 메시지가 마음에 와닿네요ㅎㅎ  아프리카에서 만날수있어 기쁘고 방송도 잘보고잇어요
 2천만조회수 축하드립니다"
리와인드 나온게 어끄제 같은데 벌써2000만이라니.. 내가 한평생 누군가를 이렇게 좋아해본적이 없는거같은데 정말 제 인생에 큰 빛이 되주어서 감사합니다 ㅜㅜ 이천만 조회써 너무 추카하고 앞으로도 화이팅 해주셨으면 합니다 영원히 이세돌 사랑해 ,리와인드 나온게 어끄제 같은데 벌써2000만이라니.. 내가 한평생 누군가를 이렇게 좋아해본적이 없는거같은데 정말 제 인생에 큰 빛이 되주어서 감사합니다 ㅜㅜ 이천만 조회써 너무 추카하고 앞으로도 화이팅 해주셨으면 합니다 영원히 이세돌 사랑해 
"왁굳님 그리고 도와주신 스태프분들 함께 노력했던 이세계 아이돌 멤버들 모두 너무 감사드립니다!!!! 
함께하는 매 순간이 너무 행복해요 ! 앞으로도 더더욱 열심히 하겠습니다!!","왁굳님 그리고 도와주신 스태프분들 함께 노력했던 이세계 아이돌 멤버들 모두 너무 감사드립니다!!!! 
함께하는 매 순간이 너무 행복해요 ! 앞으로도 더더욱 열심히 하겠습니다!!"
"진짜 보면볼수록 감탄만나오네 진짜 너무 고생많으셨습니다..ㅠㅠ 진짜 뮤비 너무 잘나왔어요ㅠㅠㅠㅠㅠㅠㅠㅠ이세돌,왁굳형 파이팅!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","진짜 보면볼수록 감탄만나오네 진짜 너무 고생많으셨습니다..ㅠㅠ 진짜 뮤비 너무 잘나왔어요ㅠㅠㅠㅠㅠㅠㅠㅠ이세돌,왁굳형 파이팅!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
"1:11 늘 같은 곳을 바라보던 너의 눈이 좋아

가사 진짜 너무 좋다","1:11 늘 같은 곳을 바라보던 너의 눈이 좋아

가사 진짜 너무 좋다"
"전에 아무것도 모르던 시절에는 그냥 노래 좋네 하고 넘어갔지만, 입덕을 하고 이세돌분들이 그동안 열심히 노력하고, 고생하고, 이뤄냈던 순간을 알게되면서 정말 이 노래가 주는 느낌이 더 크고 아름답게 다가와서 너무 좋아요... 
특히 ""어쩌면 이건 처음이자 마지막 사랑 일테니까"" 이 가사는 지금 이렇게 누군가를 응원하고 좋아하는게 너무나 소중한 시간이라는 생각이 들게 해주네요.
이런 행복하고 즐거운 감정을 느낄 수 있어 정말 감사드립니다. 앞으로도 언제까지나 응원할게요!        
이세돌 영원히 사랑해
️","전에 아무것도 모르던 시절에는 그냥 노래 좋네 하고 넘어갔지만, 입덕을 하고 이세돌분들이 그동안 열심히 노력하고, 고생하고, 이뤄냈던 순간을 알게되면서 정말 이 노래가 주는 느낌이 더 크고 아름답게 다가와서 너무 좋아요... 
특히 ""어쩌면 이건 처음이자 마지막 사랑 일테니까"" 이 가사는 지금 이렇게 누군가를 응원하고 좋아하는게 너무나 소중한 시간이라는 생각이 들게 해주네요.
이런 행복하고 즐거운 감정을 느낄 수 있어 정말 감사드립니다. 앞으로도 언제까지나 응원할게요!        
이세돌 영원히 사랑해
️"
"안녕하세요 이세계 아이돌 리와인드에 작곡,편곡,악기녹음을 한 영바이브입니다
왁굳님과 이세돌분들의 첫 발돋움에 왁굳형 리믹스만 만들던 제가 이렇게 참여하게 될 수 있었어서 너무 영광이었습니다
앞으로도 좋은  날들만 되시기를 바라겠습니다 아 킹아!!!!!!!!!!우왁굳은 신이야 뮤비 개쩔어요 진짜","안녕하세요 이세계 아이돌 리와인드에 작곡,편곡,악기녹음을 한 영바이브입니다
왁굳님과 이세돌분들의 첫 발돋움에 왁굳형 리믹스만 만들던 제가 이렇게 참여하게 될 수 있었어서 너무 영광이었습니다
앞으로도 좋은  날들만 되시기를 바라겠습니다 아 킹아!!!!!!!!!!우왁굳은 신이야 뮤비 개쩔어요 진짜"
"이제야 비로소 이해되는 뢴트님의 명언 ""아이돌에게 중요한 것은 스토리 입니다.""

뮤비를 보니 아이돌들의 성장 스토리가 눈 앞에 펼쳐지면서 눈물이 나네요...","이제야 비로소 이해되는 뢴트님의 명언 ""아이돌에게 중요한 것은 스토리 입니다.""

뮤비를 보니 아이돌들의 성장 스토리가 눈 앞에 펼쳐지면서 눈물이 나네요..."
"이세계아이돌의 시작을 알리는 데뷔곡이 이세돌의 롱런을 기원하는 곡처럼 들려서, 들으면 들을수록 '내가 알던 일게 버츄얼 스트리머들이 이렇게 진짜 아이돌로서 컸구나' 라는 생각이 들어서 대견하면서 감동적인것 같아요. 버츄얼 특성상 아바타와 기술력같은 것들이 예전과 비교 했을때의 차이를 가장 잘 알수있거든요? 아마도 그런점이 지금과 대조되면서 더 가슴 한견이 울먹해지는 그런게 있는것같아요. 처음에는 모두가 손가락질 했지만, 이렇게 성공하면서, 하루가 멀다하고 성장중인 이세계아이돌이 매우 자랑스럽습니다. 비록 저는 키딩때부터 이세돌을 본격적으로 덕질하기 시작했지만, 누구보다 이세돌에 자부심을 가진 사람인만큼, 이번 리와인드 2천만 돌파 축하드립니다! ","이세계아이돌의 시작을 알리는 데뷔곡이 이세돌의 롱런을 기원하는 곡처럼 들려서, 들으면 들을수록 '내가 알던 일게 버츄얼 스트리머들이 이렇게 진짜 아이돌로서 컸구나' 라는 생각이 들어서 대견하면서 감동적인것 같아요. 버츄얼 특성상 아바타와 기술력같은 것들이 예전과 비교 했을때의 차이를 가장 잘 알수있거든요? 아마도 그런점이 지금과 대조되면서 더 가슴 한견이 울먹해지는 그런게 있는것같아요. 처음에는 모두가 손가락질 했지만, 이렇게 성공하면서, 하루가 멀다하고 성장중인 이세계아이돌이 매우 자랑스럽습니다. 비록 저는 키딩때부터 이세돌을 본격적으로 덕질하기 시작했지만, 누구보다 이세돌에 자부심을 가진 사람인만큼, 이번 리와인드 2천만 돌파 축하드립니다! "
