Comments,Replies
아이러니한게 '버추얼아이돌'이라는 특수성이 한계가 있을줄 알았는데 이게 오히려 그 너머의 실력이나 전달성 같은 진심이 부각되어보임. 겉모습도 셀링포인트 중 하나겠지만 찐 알맹이가 부족하면 말짱도루묵이라는 정의가 적용되는게 버추얼아이돌인듯; 화면 너머로 보지만 얘네가 하는 감사하다는 말이 어디서 들은것보다 더 진심으로 느껴지는게 존나 신기함. 그 낯섬만 조금 넘어오면 팬들한테 하는 표현이나 팬덤내부 분위기도 요즘같은 세상에 존재하는게 ㄹㅇ 신기할 정도로 잘꾸려져있음. 잘되는데엔 여러 이유가 있겠지만 아마 그 중 하나일거라고 생각함.,아이러니한게 '버추얼아이돌'이라는 특수성이 한계가 있을줄 알았는데 이게 오히려 그 너머의 실력이나 전달성 같은 진심이 부각되어보임. 겉모습도 셀링포인트 중 하나겠지만 찐 알맹이가 부족하면 말짱도루묵이라는 정의가 적용되는게 버추얼아이돌인듯; 화면 너머로 보지만 얘네가 하는 감사하다는 말이 어디서 들은것보다 더 진심으로 느껴지는게 존나 신기함. 그 낯섬만 조금 넘어오면 팬들한테 하는 표현이나 팬덤내부 분위기도 요즘같은 세상에 존재하는게 ㄹㅇ 신기할 정도로 잘꾸려져있음. 잘되는데엔 여러 이유가 있겠지만 아마 그 중 하나일거라고 생각함.
"40대 아재가 인생 처음으로
음악 방송 투표해 봤오!!!
1위 너무 축하해 얘들아!!!~~~ ㅠㅠ","40대 아재가 인생 처음으로
음악 방송 투표해 봤오!!!
1위 너무 축하해 얘들아!!!~~~ ㅠㅠ"
군필 여고생인데 동년배들 다 way4luv 듣는다,군필 여고생인데 동년배들 다 way4luv 듣는다
문특 보고 왔는데ㅋㅋㅋ뮤비 진짜 잘만들어서 당황스럽다ㅋㅋㅋㅋ,문특 보고 왔는데ㅋㅋㅋ뮤비 진짜 잘만들어서 당황스럽다ㅋㅋㅋㅋ
"버추얼이 가수냐 하는 사람들도 있던데, 본인들이 춤추고 노래하고 작사작곡 프로듀싱 안무창작까지 다 하는데 이게 가수가 아니면 뭐란 말임... 이정도로 음악적 참여도 높은 아이돌이 돌판에 몇팀이나 된다고","버추얼이 가수냐 하는 사람들도 있던데, 본인들이 춤추고 노래하고 작사작곡 프로듀싱 안무창작까지 다 하는데 이게 가수가 아니면 뭐란 말임... 이정도로 음악적 참여도 높은 아이돌이 돌판에 몇팀이나 된다고"
저 별들을 닮기엔 모든게 서툴렀다는 가사를 쓰는 플레이브… 가수의 꿈을 포기했었다가 그 꿈을 플리들이 이뤄줬다고 얘기하는 플레이브… 이런 영화같은 서사라니 ,저 별들을 닮기엔 모든게 서툴렀다는 가사를 쓰는 플레이브… 가수의 꿈을 포기했었다가 그 꿈을 플리들이 이뤄줬다고 얘기하는 플레이브… 이런 영화같은 서사라니 
"아주 어린분들은 모르시겠지만 꾸준히 여돌 전성기였던 돌판에 잠깐 남돌이 전성기였던 시절이 있었음
그때 남돌이 부르는 음악은 지금처럼 복잡하고 난해하거나 팬덤만을 위한 곡이 아닌 대중을 위한 이즈리스닝 곡이 주였고
안무도 일반인은 감히 생각도 못할 아주 파워풀하고 고난이도의 퍼포먼스가 아닌 누가 따라 춰도 쉬울 안무였음
지금 플레이브가 그 당시 남돌 전성기의 모습을 보여주는거 같음
 
모두 자기 포지션을 잘하고 음악 자체를 잘하는데 곡이 서정적이고 가사가 예쁨
요즘 노래 가사는 영어를 넘어 슬랭 떡칠이라 곡을 이해하려면 따로 리뷰 영상을 보고 공부해야 할 판이고
솔직히 바쁜 현대사회에 팬 아니면 이러기 쉽지 않아 내가 듣는 곡이 무슨 메세지를 담은 곡인지도 모르고 듣는 게 많음
플레이브는 작사 작곡을 대중이 듣기 '친절하게' 해줌
속에 담긴 속 뜻이 있겠지만 굳이 찾아보지 않아도 곡이 무슨 말을 해주는지 어떤 느낌인지 쉽게 알 수 있음
현재 남돌판엔 친절한 곡이 사라졌기 때문에 플레이브 스타일의 곡이 정말 귀함 

이걸 멤버들이 잘 캐치한건지 좋은 방향으로 프로듀싱하는 듯
그리고 나처럼 나이가 좀 있는 사람들이 오히려 버추얼 아이돌 잘 받아들임
왜냐면 우리는 버추얼 시조새 아담의 세대였기때문엨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ (아담이 CF도 찍었던 시절)","아주 어린분들은 모르시겠지만 꾸준히 여돌 전성기였던 돌판에 잠깐 남돌이 전성기였던 시절이 있었음
그때 남돌이 부르는 음악은 지금처럼 복잡하고 난해하거나 팬덤만을 위한 곡이 아닌 대중을 위한 이즈리스닝 곡이 주였고
안무도 일반인은 감히 생각도 못할 아주 파워풀하고 고난이도의 퍼포먼스가 아닌 누가 따라 춰도 쉬울 안무였음
지금 플레이브가 그 당시 남돌 전성기의 모습을 보여주는거 같음
 
모두 자기 포지션을 잘하고 음악 자체를 잘하는데 곡이 서정적이고 가사가 예쁨
요즘 노래 가사는 영어를 넘어 슬랭 떡칠이라 곡을 이해하려면 따로 리뷰 영상을 보고 공부해야 할 판이고
솔직히 바쁜 현대사회에 팬 아니면 이러기 쉽지 않아 내가 듣는 곡이 무슨 메세지를 담은 곡인지도 모르고 듣는 게 많음
플레이브는 작사 작곡을 대중이 듣기 '친절하게' 해줌
속에 담긴 속 뜻이 있겠지만 굳이 찾아보지 않아도 곡이 무슨 말을 해주는지 어떤 느낌인지 쉽게 알 수 있음
현재 남돌판엔 친절한 곡이 사라졌기 때문에 플레이브 스타일의 곡이 정말 귀함 

이걸 멤버들이 잘 캐치한건지 좋은 방향으로 프로듀싱하는 듯
그리고 나처럼 나이가 좀 있는 사람들이 오히려 버추얼 아이돌 잘 받아들임
왜냐면 우리는 버추얼 시조새 아담의 세대였기때문엨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ (아담이 CF도 찍었던 시절)"
안녕하세요 저는 40살 워킹맘입니다!  요즘 플레이브 노래들으면서 일하는데 너무너무 행복해요! 노래 넘모 좋아요 :) 앞으로도 좋은 노래 많이 만들어주세요!!,안녕하세요 저는 40살 워킹맘입니다!  요즘 플레이브 노래들으면서 일하는데 너무너무 행복해요! 노래 넘모 좋아요 :) 앞으로도 좋은 노래 많이 만들어주세요!!
"플레이브야. 여기 댓글들 보고 있어? 다 응원의 말이고 너네 음악이 좋다는 말들이야. 팬인 나도 읽으면 힐링되는데 너네들은 얼마나 행복할까? 시간날때 댓글들 읽고 행복해져라
 너희들이 이룬 일들이니까.","플레이브야. 여기 댓글들 보고 있어? 다 응원의 말이고 너네 음악이 좋다는 말들이야. 팬인 나도 읽으면 힐링되는데 너네들은 얼마나 행복할까? 시간날때 댓글들 읽고 행복해져라
 너희들이 이룬 일들이니까."
"공중파 1위했다는 기사보고 진짜 놀랐는데 솔직히 이게 요즘시대고 이게 흐름인가봄ㅋㅋㅋ 작곡,안무,디렉팅까지 전부 자체제작 아이돌이라는 댓보고 팬들이 좋아할만한...그럴만한 이유를 갖춘 그룹인것같아서 특히 팬들 코어력에 좀 놀랐음...단합이 엄청 잘되네요ㅋㅋㅋㅋ 앞으로 더 놀랍고 신기한 기록 많이세우면 좋을거같음 노래도 좋으니까 불가능은 없을거같아요 후발대에게 좋은 케이스로도 남을수 있을거같고","공중파 1위했다는 기사보고 진짜 놀랐는데 솔직히 이게 요즘시대고 이게 흐름인가봄ㅋㅋㅋ 작곡,안무,디렉팅까지 전부 자체제작 아이돌이라는 댓보고 팬들이 좋아할만한...그럴만한 이유를 갖춘 그룹인것같아서 특히 팬들 코어력에 좀 놀랐음...단합이 엄청 잘되네요ㅋㅋㅋㅋ 앞으로 더 놀랍고 신기한 기록 많이세우면 좋을거같음 노래도 좋으니까 불가능은 없을거같아요 후발대에게 좋은 케이스로도 남을수 있을거같고"
