명사,좋아요순,동사,동사순,형용사,형용사순
이세돌,46,감사합니다,12,굳,12
진짜,36,하는,10,입니다,10
뮤비,30,드립니다,7,좋은,10
이,24,잘,7,이런,6
노래,24,들,6,같습니다,5
아이돌,20,와,6,있는,5
형,20,하신,6,많으셨습니다,4
것,20,합니다,6,굳은,4
왁굳님,16,할,6,아니,3
앞,16,해서,5,어떻게,3
정말,15,하셨고,4,많으셨고,3
때,15,챙겨,4,멋진,3
고생,14,하겠습니다,3,같은,3
세계,12,하셨습니다,3,좋아서,3
곡,12,보면,3,안녕하세요,2
리와인드,11,한,3,같아,2
수,11,하게,3,그런지,2
버스,11,나온,3,미쳤다,2
모든,10,되었습니다,3,새로,2
사람,10,했는데,3,좋고,2
