Comment,Keyword
이세돌 분들 국내 최초 버츄얼 걸그룹이로서 부정적인 시선을 극복하고 존재하는 것이 자랑스럽습니다 앞으로 많은 곡 내 주세요 ,Noun
형이 직접 촬영하고 편집하고 파트짜고 작사하고 맵 찾아다니고  자체적으로 관련 지식인분들도 많이 도와주시고 진짜  가내수공업 낭만 그 자체인 뮤비라서 가끔 들어와서 볼 때마다 그 때 기억이 새록새록 남 내 인터넷 추억 여기 다 있네,Noun
"이세돌 업적

 멜론   차트 위 진입 실시간 차트 최고기록 위 갱신 멜론 차트진입 자체가 아이돌지망생들이나 실제 아이돌들에게도 꿈과 같은 일이고 진입조차 못하는 가수와 아이돌들이 수두룩한걸 보면 이례적으로 성공",Noun
아 진짜 노래나 뮤비나 뭐나 너무 예쁘고 곱게 잘나와서 한동안 계속 들을 것 같아요 진짜 최고다 이세돌 흥해라 이세돌은 전설이다,Noun
"그 시절 트로트가 가득하던 멜론차트에
제가 유일하게 골라듣던 노래였습니다
이게 벌써 년 반정도 되다니 믿기지 않습니다 이세돌 앞으로도 화이팅 킹애",Noun
"진짜 아이돌부터 사장 매니저 감독 직원 전원 가명에 비대면으로 참여해서 만들었네 이건 기록이다
정정합니다 드러머 곽준용님이 본명으로 참가하셨네요 기네스 기록 아깝스",Noun
나이키 아울렛에서 근무중인 팬치 입니다 브랜드 내의 멜론채널로 저작을 관리하기 때문에 틀어주는 걸 마냥 들어야 했는데 뚜둥 리와인드가 나왔어요  주말이라 정신없고 바빴는데 한줄기 힘이 되었습니다 감동  이세돌 화이팅 감사합니다,Noun
앞에선 굽신굽신,Noun
리와인드 제작파일 유출 보다가 감질나서 보러오게 되네요,Noun
"이 형이 개쩌는 이유
 지리는 기획력
 오지는 추진력
 완고한 고집",Noun
진짜 나름 돌판 고인물인데 기획력도 노래도 멤버분들도 웬만한 중소기획사보다 훨씬 낫네요 메타버스 선두주자 왁굳님 앞으로도 이세돌 활동 많이 시켜주세용 노래 너무 좋아요,Noun
편의점 알바하는 곳에서 흘러나온 곡인데 그때만 듣던 노랜데 어느새 여기까지 찾아왔네요 진짜 처음엔 이런 재질의 노래가 아이돌 최신가요에서 나온다고 하면서 관심보였다가 진짜 너무 좋아서 어느새 그룹 이름까지 알아내서 왔어요,Noun
"아직 에 대한 거부감은 있지만 노래가 너무 좋아서 자꾸 찾아듣게되네요 비챤님 특히 노래에 챡챡 감겨서 좋습니다 음색 미쳤어요
하이라이트 고음도 너무 좋고 가사가 특히 슬프면서도 밝은 분위기에 한몫 했다고 느꼈는데 왁굳님 작사라니 놀랐습니다 앞으로의 활동도 기대하겠습니다 내 원픽은 읍읍",Noun
"기억나 우리처음 만난 날 

이 가사로 시작하는게 인듯
앞으로 이세돌분들이 활동을 하면 할수록 추억이 가사에 녹아서 들을때마다 감동이 짙어지는 것 같음",Noun
년만에 다시와서 보니까 아련하냐  오디션때부터 예능으로 웃으면서 보고 처음에 어색하다가 점점 발전하고 년전 여름의 추억 한페이지가 되어버린 모든 과정들이 주마등처럼 흘러가내 ,Noun
이게  애니에서나 나올 얘기 아닌가개인 방송인이 아이돌 그룹 만드려고 직접 멤버모으고 또 거기에 다양한 사람들이 모여서 이런 결과물을 낸다는게이게 판타지지,Noun
