Word,Frequency,state
활동,20,긍정적
명,20,긍정적
만,20,긍정적
늘다,20,긍정적
역시,20,긍정적
안질리다,20,긍정적
다르다,20,긍정적
종일,18,긍정적
채우다,18,긍정적
무슨,18,긍정적
멋있다,18,긍정적
시절,18,긍정적
드라이브,18,긍정적
겠다,18,긍정적
분위기,18,긍정적
뭐라다,18,부정적
영어,18,긍정적
이해,18,긍정적
전부,18,긍정적
바이럴,18,긍정적
올라가다,18,긍정적
점,18,긍정적
가지다,18,긍정적
가지,18,긍정적
열정,18,긍정적
가득하다,18,긍정적
그게,18,긍정적
힘,18,긍정적
곧,18,긍정적
갈다,18,긍정적
바로,18,긍정적
살다,18,긍정적
힘내다,18,긍정적
찾아오다,18,긍정적
해내다,18,긍정적
첫,18,긍정적
통해,18,긍정적
더더,18,긍정적
벅차다,18,긍정적
중독,18,긍정적
소식,18,긍정적
수도,18,긍정적
유튜브,18,긍정적
말다,18,긍정적
나아가다,18,긍정적
들려주다,18,긍정적
구독,18,긍정적
돌리다,16,긍정적
돌이,16,긍정적
프로,16,긍정적
작다,16,긍정적
존나,16,긍정적
약간,16,긍정적
불다,16,긍정적
인기,16,긍정적
존재,16,부정적
돌판,16,긍정적
어리다,16,긍정적
따르다,16,긍정적
건지다,16,긍정적
너,16,긍정적
들이다,16,긍정적
많아지다,16,긍정적
별로,16,긍정적
브라,16,긍정적
대기업,16,긍정적
감사,16,긍정적
예준,16,긍정적
하민이,16,긍정적
세계관,16,긍정적
기다,16,긍정적
이름,16,긍정적
해도,16,긍정적
억,16,긍정적
본업,16,긍정적
예,16,긍정적
파트,16,부정적
쎄다,16,긍정적
완전,16,긍정적
원래,16,긍정적
민,16,긍정적
후회,16,긍정적
반복,16,긍정적
무엇,16,긍정적
확실하다,16,부정적
현실,16,긍정적
사계절,16,긍정적
캐릭터,16,긍정적
이세돌,16,긍정적
들리다,16,긍정적
방,16,긍정적
부다,16,긍정적
심지어,14,긍정적
오래오래,14,긍정적
퀄리티,14,긍정적
늘,14,긍정적
한국,14,긍정적
모이다,14,긍정적
재,14,긍정적
이상,14,긍정적
떠나다,14,긍정적
음악중심,14,긍정적
높다,14,긍정적
아담,14,긍정적
도,14,긍정적
읽다,14,긍정적
시대,14,부정적
물,14,부정적
신나다,14,긍정적
쪽,14,긍정적
깊다,14,긍정적
음,14,긍정적
인정,14,긍정적
개인,14,긍정적
제일,14,긍정적
글,14,긍정적
그대로,14,긍정적
또한,14,긍정적
얼다,14,긍정적
보기,14,긍정적
따다,14,긍정적
이건,14,긍정적
선물,14,긍정적
스토리,14,긍정적
거부,14,긍정적
옛날,14,긍정적
멜로디,14,긍정적
넣다,14,긍정적
들어오다,14,긍정적
여섯,14,긍정적
장벽,14,부정적
바뀌다,14,긍정적
성장하다,14,긍정적
과정,14,긍정적
신곡,14,긍정적
맘,14,긍정적
형,14,긍정적
즐겁다,14,부정적
기존,14,긍정적
차,14,긍정적
건가,14,긍정적
영원하다,14,부정적
작업,14,긍정적
생기다,14,긍정적
제발,14,긍정적
젠,14,긍정적
벅차오르다,14,긍정적
날씨,14,긍정적
웃다,14,긍정적
크다,14,긍정적
챙기다,14,긍정적
좋아지다,14,긍정적
집중,14,긍정적
옴,14,긍정적
노,14,긍정적
뮤밍,14,긍정적
며,12,긍정적
걷다,12,긍정적
듀싱,12,긍정적
이야기,12,긍정적
의,12,긍정적
돌다,12,긍정적
발견,12,긍정적
재능,12,긍정적
조금,12,긍정적
표현,12,긍정적
본인,12,긍정적
춤추다,12,긍정적
그때,12,긍정적
담기다,12,긍정적
나이,12,긍정적
받아들이다,12,긍정적
모,12,긍정적
여러분,12,긍정적
다양하다,12,긍정적
해봤다,12,부정적
뭘,12,긍정적
아끼다,12,긍정적
비주,12,긍정적
능력,12,긍정적
똑같다,12,긍정적
아이,12,긍정적
돌아오다,12,긍정적
남기다,12,긍정적
중요하다,12,긍정적
