Comment,Likes
"하 며칠동안 플레이브 영상이랑 쇼츠 계속 돌려보면서 귀엽네 노래 잘 부르네 하면서 입덕부정기 겪다가 오늘 외출한 사이에 플레이브 음악중심 등했다는 소식 듣고 기뻐한 나 자신을 보며 깨달았습니다

입덕했구나

얘들아 음악방송 등 축하해
  내가 난생 처음 남자 아이돌 덕질 하는거라 모르는 단어가 너무 많아서 하나하나 공부중이야",338
이런 쪽이랑 완전 연이 없던 사람인데노래 너무 잘 뽑아서 들으러 왔습니다 역시 가수는 바이럴보다는 노래로 승부해야 되는구나 싶네요,335
"크리스마스 노래할 때 만나고 어쩌다가 우연히 커버곡 들었는데 또 만났네요 길가다가 들리는 노래가 너무 좋아서 찾았는데 이 친구들을 또 볼 줄은 
겨울에도 봄에도 만나서 영광입니다 노래 가사에 사계절이 되어달라는 이야기가 나왔던 거 같은데 저한테도 사계절 내내 만나고 싶어지는 아티스트가 생긴 건 처음이라 설레네요

삼세번이면 인연이 아니라 필연인거겠죠 앨범도 사러 가야겠네요
정말 취향인 좋은 노래를 만나서 너무 기쁩니다

 노래를 들으면서 눈물이 난 게 오랫만이어서 스스로도 왜 그럴까 생각해보니까 뮤비를 보니 답이 있네요
아티스트도 회사도 정말 진심을 담아 간절하게 사랑에 대해 말하고 있는 작업물이어서 였던 거 같아요
앞으로도 사랑을 받고 또 사랑을 찾아나가는 길이 험난할 수도 있겠지만 응원할게요",330
"버츄얼에 대해 좋은 시각을 갖고있었다고 말할 순 없지만 노래도 좋고 뭔가 요즘 타 남돌들 노래는 예전같은 바이브가 없어서 좀 아쉬웠는데 이거는 가슴에 와닿고 또 그런 보컬이 있는거 같아요
화이팅입니다",327
플레이브 보면 뭔가벅차올라요 버츄얼이라서의 장점도 빛을 발하는거 같아요 섬세한 부분까지 다 보게되고 특히 맴버들의 표정이 너무 행복해보이는게 느껴져서 더 좋아요  지금까지 있었던 배경들도 지나가는데 눈물 찔끔 남,325
아니 음중 위 하니깐 어그로들 우르르  몰려오는거 너무 속보이는거 아냐,324
세대부터 쭉 돌판에 있던 휀걸이 엠을 나와서 버추얼아이돌에 이렇게 빠지게 될 줄은 전혀 몰랐음 반복되는 비슷한 무언가에 지쳐가던 때에 만난 플레이브의 노래는 이전 세대 갬성덕질하는 사람들에게 매력적으로 다가오지 않았을까 나처럼 세대의 곡 분위기가 오묘하게 다 느껴지는 게 입덕 포인트인 거 같음 비피엠이 빠르다 해서 멜로디만 훑고 지나쳐가는 게 아닌 가사 하나하나가 귀에 박히는 것도 리스너로서 너무 즐거움 이지리스닝이어도 멜로디 라인이 마냥 단조롭지만도 않아 무엇보다 멤버들 보컬이 곡들의 분위기를 너무 잘 이끌어줘서 그런지 계속 들어도 질리는 구간이 없는 게 너무 신기해어떻게 이 다섯이 모이게 된 건지 여기서 운명론 풀면 좀 그래 그래도 난 이것 또한 다 운명이었다 믿을래 플레이브는 정말 앞으로가 더욱 기대되고 또 기다려지는 거 같아 이렇게 계속 하이인 상태로 덕질을 한 게 얼마만인지 너무 신나고 즐겁고 하루하루가 설레고 그래서 팬으로서 내가 할 수 있는 건 최대한 노력하고 있어 이런 기분을 느끼게 해준 너희에게 보답하고 파서 매일 고맙고 정말 사랑한다 얘들아 평플하자 ,321
다른거보다 작곡이  지림 밴드사운드를 너무 잘쓰는듯 이번에 룩삼님 음감회 보면서 다시한번 느낌,307
"플레이브는 진짜 다른게 그동안의 나 버츄얼들을 보면 아 이쪽 업계는 팬을 보는 관점이 평범하지 않구나 이런 마이너한 부분을 공략하는 거구나 싶었는데
얘네는 보면 볼수록 이렇게 대중성을 끌고가면 어떤 장점들이 있구나 하는것만 눈에 들어옴 ",302
세대만 파던 사람인데 얘네는 묘하게 세대 느낌이 안나고 그때 느낌남 그래서 난 오히려 호감임 영어 많은 가사보단 한국어 많은 가사가 좋고 버추얼 이라고 욕 많이 먹던데 힘냈으면 좋겠음,297
"확실히 버츄얼 그룹이라 그런지 뮤비가 타 아이돌에 비해 선택지가 많다는 게 좋아보이는 거 같네요 
뮤비 색감 엄청 좋고 거기에 다양한 풍경들이 나와서 눈이 호강해서 좋은 듯 약간 만화 보는 느낌",296
"타팬인데 노래좋아서 항상챙겨들어요
이번뮤비 퀄리티 진짜 좋네요",290
캐럿이었는데 밤비핑뚝이가 오류 고치는 영상을 시작으로 점점 플레이브가 좋아지고 있어요,278
여러분들 특정 커뮤에서 엄청 핫한 게시글로 우리애들이 올라가잇어요 몰려오는것오 이상하지않습니다 먹금하시고 각자 할일합시당 숙제아시죵,275
플레이브가 레전드인 점 음악임 버추얼이기 때문에 편견과 오해를 겪지만 자신들의 음악으로 증명하고 버추얼을 오히려 자신들의 특색이자 매력으로 만들어냄 데뷔 년도 안됐고 대중들에게 낯선 버추얼 아이돌이 새 기록을 쓰고 이처럼 좋은 성적을 내는 건 정말 미친거임 플레이브  플리  뚝스조합 너무 사랑스럽고 내가  플리라는게 자랑스러움 팬들에게 자부심 갖게하는 만년돌 그 자체 앞으로의 여정과 이야기에도 함께하고 싶다,275
"저희 어머니가 요즘 플레이브에 푹 빠져계세요다들 목소리 왜이렇게 좋냐고 이번곡도 정말 너무너무 좋아요 앞으로의 플레이브의 활약을 응원합니다
",274
"저는 플레이브 노래가 그냥 들리는대로 들으면 되는 직관적인 가사의 노래라서 좋아요 요즘 다들 미리부터 빌보드니 뭐니 별로 깊이 알고 싶지도 않은 세계관이 어쩌구 하면서 인데 영어만 잔뜩 있는 가사라던가 분명 한국노래가 맞기는 한데 너무 자기들끼리 짜놓은 심오한 세계관의 상징성만 비유한다고 듣다보면 뭔 소린지 모르겠고 일반 대중들은 듣기에 왕따 당하듯 피곤해지는 가사들이 남돌 노래에 너무 팽배해서 몇 몇 팀의 노래 빼곤 잘 안 듣는 편이거든요

근데 플레이브 노래는 멜로디도 가사도 뮤비도 그냥 보이고 들리는 곧이 곧대로 이해하면 되는 밝고 청량감있는 희망 찬 노래라서 좋아요 

특별히 저게 뭘 뜻하는 거지 라는 의문을 가질 필요가 없어요 사실 진짜 좋은 노래는 누구나 보고 듣기에 큰 어려움이 없는 편안함을 주는 곡이 아닐까 싶어요 노래를 듣는 이유는 사실 그런거잖아요 이 노래를 들음으로 인해서 귀가 즐겁고 마음이 편안해지니까 듣잖아요

가사는 물론이고 뮤직비디오를 통해서 보여주고자 하는 세계관의 스토리 라인도 그냥 보고 있으면 아 저기 날라다니는 블록이 하트모양 됐으니 사랑인가보다 노래제목이    니까 쓩 날아가버린 집나간 사랑을 찾아가는 모험이야기구나 하고 정말 보이는대로 보면 돼요

보기 불편한 자극적 장면도 하나도 없는 뭐랄까 옛날에 즐겨보던 꿈과 희망과 모험이 가득한 소년만화의 오프닝송 같으면서도 동시에 완벽한 해피엔딩의 엔딩곡을 보는 것도 같아요

노래를 부르는 가수의 겉모습이 실물이든 버추얼이든 요즘같이 변화무쌍한 세상에 뭐가 그리 중요하겠어요  눈에 보이는 것이 모두 컴퓨터 그래픽일지언정 대중들에게 전하려는 메시지가 담긴 노래에는 가수분들의 따뜻한 감성이 가득한 걸요 그거면 됐죠 뭐",273
