Comment,Likes
댓글 와우 이런 팬들은 요새 돈줘도 못구할텐데  팬들이 편지 쓰듯 다정하게 써준 댓글들 참 글솜씨들이 뛰어난 분들이 많네요 관련없는 내가 읽어도 감동  보고 힘 많이 날듯 부럽다 인간이 태어나서 이렇게 좋은 글을 대량으로 받아볼 기회  생각보다 별로 없음   노래도 좋고 팬들 마음씨에 댓글 남겨보고 갑니다 딱 감미로운 봄날노래라 곧 거리에서 많이 틀울듯 ,766
팬들 댓글 보니까 왜 인기 있는지 알겠다 국내코어만 잘 다져도 이 정도 성과를 낼 수 있다는 것도 놀랍고 한국 아이돌이나 엔터사들 겉멋만 들어서 글로벌한국포함일본  하는 거 꼴보기 싫었는데 이 와중에 버츄얼아이돌이 국내팬덤으로 이걸 해내는게 상징적인 거 같음,757
버츄얼인데 의외로 대 팬들이 많다고해서 들어보러 왔는데 왜 많은지 알것같음 음악이 직관적이고 뭘 말하고자 하는지 명확하네요 옛날 유명곡들 샘플링하는것보다 음악자체가 감성을 불러일으키는 방식이라고봄 꾸밈이 많고 믹싱이 주된 음악을 즐기던 층은 심심하게 느낄수도 있는데 이건 취향문제라수록곡도 괜찮다고하니 들으러 가야겠네요 건승하십쇼,753
"팬들 진짜 대단해어디서는 지네 등 못했다고 찡찡거리면서 좌표찍고 욕하러 오는데 누구는 먹금하고 좋은 댓글로 밀어버리는중진짜 팬들 엄청 성숙하고
화력 미쳤음 다른 팬덤들이 부러워하는 이유가 있다",748
"지금까지 아이돌 덕질 외길 인생이었던 나
소부터 대기업 메이저까지 꽤나 많은 아이돌들을 거쳐오가면서 덕질해봤는데 이렇게까지 진심이 된 아이돌은 플레이브가 처음임 사실 덕질자체가 워낙 짝사랑 같은 관계라 주는만큼 받을 수 있을 거 라는 기대와 생각을 아예 안하고 시작하는데 얘네랑은 거의 쌍방 열애중임팬들 이렇게 아끼고 좋아하는 애들 처음 봄그냥 플레이브 자체가 팬을 중심으로 돌아간다고 해도 과언이 아닐정도 지금까지 살면서 내가 생각한 덕질은 아주 일방적인 관계라고 생각했는데 플레이브 덕질하고 생각이 아예 달라짐 내가 주는 사랑이 돌아올 수 있는거였구나 하고심지어 본업까지 잘하는데 어떻게 안사랑해고로 입덕부정기는 짧게하시고 얼른 입덕하세요 진짜 후회안합니다 후회는 왜 더 일찍 입덕하지 않았을까에 대한 후회만 있을뿐",711
요즘 케팝 남돌하면 난해함 스푼과 약간의 퍼포먼스 스푼 이런느낌이 있어서 수록곡 찾아듣지 않는 이상 좋은 곡 발견하기 힘들었는데 플레이브는 예전 세대 아이돌 전성기 시절 감성이 있어서 있던 추억 다 불러 일으킴 자체제작이라는 타이틀도 그렇고 참 재능 많은듯,703
팬들이 이렇게 사랑을 쏟는걸 광기라고 우스게 소리로 말하지만 저는 이건 우리가 잃어버렸던 추억과 희미해진 꿈과 바래져간 사랑들의 회귀라고 생각이 듭니다 저도 다 잊었다고 생각했는데요 이 노래를 들으면 사실은 한번도 떠난적이 없는것 같아서 기분이 이상해요 먼곳으로 떠났거나 떠나왔다고 생각한 꿈이 사실은 내 마음속에서 나오지 못했다는게요 세상엔 좋은게 너무 많지만 내 마음을 꺼내서 어루만져주는 것들은 손에 꼽아요 저는 그래서 이 노래가 귀해요 이런 귀한 선물을 해준 플레이브에게 진심으로 고맙다고 말하고 싶어요 너무 고맙습니다,701
쟁쟁한곡들놔두고 첨보는 그룹이 음악중심 위했길래 궁금해서 들으러왔는데 위할만하네 노래가좋네요잉,696
"헬창형이야
요즘 등가슴조질때마다 너네노래만 들어 노아가좋아하겠다
이런 케이팝 많이 만들어줘
위 축하해",688
버츄얼 너머로 느껴지는 진한 세대 아이돌 바이브에 집나갔던 케이팝 팬들 다 돌아와서 플리되고 있는거 너무 짜릿해 진짜 우리 평플하자 ,687
보통 를 파도 독보적인 최애 한명이 있기 마련인데 플레이브는 한 명 한 명이 너무 소중함 ,680
"대충 버추얼 아이돌 그룹이라고만 알았는데 오늘 음반 만장을 팔았다는 기사를 보고 찾아왔습니다 
멋있네요 
 노래 굿굿",677
아이러니한게 버추얼아이돌이라는 특수성이 한계가 있을줄 알았는데 이게 오히려 그 너머의 실력이나 전달성 같은 진심이 부각되어보임 겉모습도 셀링포인트 중 하나겠지만 찐 알맹이가 부족하면 말짱도루묵이라는 정의가 적용되는게 버추얼아이돌인듯 화면 너머로 보지만 얘네가 하는 감사하다는 말이 어디서 들은것보다 더 진심으로 느껴지는게 존나 신기함 그 낯섬만 조금 넘어오면 팬들한테 하는 표현이나 팬덤내부 분위기도 요즘같은 세상에 존재하는게  신기할 정도로 잘꾸려져있음 잘되는데엔 여러 이유가 있겠지만 아마 그 중 하나일거라고 생각함,667
"케이팝의 근본에 갈증 나 있던 사람들의 모임
플레이브가 모범답안이다",667
내가 다시는 돌판 안 온다 이랬는데  플레이브 덕에 영원을 믿고 싶어짐,648
옆동네에서 왔지만 플레이브 신곡 나올때마다 듣고잇어요 이번꺼도 넘 레전드입니다,647
이 친구들은 스트릿 출신 개냥이들처럼 예의가 바르고 산전수전 다 겪은 느낌이 나요트랙메이킹부터 셀프 작사작곡 디렉팅까지 하는거나 돈 주고 사온 안무가 율동 수준이라 과감히 버리고 안무시안도 찍어 가며 안무 자체 제작하는 거 스스로 멤버 영입해서 본인들도 생소한 버추얼이란 분야에 뛰어든거  이런 것들 보면 기존쎄가 분명한데 가수로서 하나씩 이뤄갈때마다 츄르 첨 먹어서 눈물 흘리는 냥이처럼 울먹거리며 기뻐해서 진짜 음악 춤을 사랑하는게 느껴져요 내가 열정적이었던 때를 다시 떠올리게하고 나 자신은 꿈을 따라 사는 사람이 아니라서 더 리스펙하게 되는 아티스트 버추얼이라서 좋아하게 된게 아니라 버추얼임에도 좋아하게 된 아이돌입니다,642
한국 플리들이 잘 시간이면 해외 플리들이 뮤비 스밍해주는거 믿고 있었다구 플리들,628
