                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2316,                 2.9331,                  1.588,                0.00396,                0.93304,                0.30645,                0.14179,                 1.2731,                  3.335,                 1.9311,             0.00020004,             0.00020004,             0.00020004
                      2,                 1.2198,                   2.37,                 1.5733,                0.00398,                0.93304,                0.26619,                0.13387,                 1.3473,                 3.1552,                 2.0162,             0.00033423,             0.00033423,             0.00033423
